Team,H,xwOBA,AB,HardHit%,G
LAD,747,,2841,0.426,1246
NYY,698,,2749,0.45299999999999996,1187
ARI,702,,2754,0.419,1173
CHC,725,,2841,0.4,1183
DET,710,,2805,0.39299999999999996,1230
NYM,678,,2771,0.456,1213
PHI,716,,2792,0.426,1167
TBR,715,,2769,0.41100000000000003,1201
SEA,689,,2785,0.418,1228
TOR,707,,2743,0.41700000000000004,1202
BOS,701,,2853,0.45399999999999996,1211
HOU,701,,2738,0.39,1174
CIN,679,,2748,0.37799999999999995,1197
ATH,712,,2861,0.384,1218
STL,712,,2817,0.408,1186
MIN,668,,2756,0.419,1230
MIA,700,,2748,0.405,1180
MIL,679,,2740,0.376,1214
BAL,648,,2702,0.434,1184
WSN,669,,2743,0.415,1166
ATL,665,,2740,0.415,1163
LAA,615,,2701,0.413,1168
SFG,622,,2684,0.364,1162
SDP,662,,2689,0.365,1240
COL,626,,2742,0.408,1205
CLE,591,,2602,0.363,1184
KCR,669,,2745,0.395,1206
TEX,614,,2701,0.409,1163
PIT,631,,2749,0.406,1182
CHW,590,,2679,0.41200000000000003,1248
